Panel_Modification,Panel,Modification,Source Plate Barcode,Marker_Color,Marker,Color,Source Well,nl_per_20
Panel1_complete,Panel1,complete,source plate,CD3_APC,CD3,APC,B2,50
Panel1_complete,Panel1,complete,source plate,CD4_PE-Cy7,CD4,PE-Cy7,B3,100
Panel1_complete,Panel1,complete,source plate,CD8_BV786,CD8,BV786,B4,75
Panel1_complete,Panel1,complete,source plate,DeadCells_DRAQ7,DeadCells,DRAQ7,B5,50
Panel1_FMODeadCells,Panel1,FMODeadCells,source plate,CD3_APC,CD3,APC,B2,50
Panel1_FMODeadCells,Panel1,FMODeadCells,source plate,CD4_PE-Cy7,CD4,PE-Cy7,B3,100
Panel1_FMODeadCells,Panel1,FMODeadCells,source plate,CD8_BV786,CD8,BV786,B4,75
Panel1_FMOCD3,Panel1,FMOCD3,source plate,CD4_PE-Cy7,CD4,PE-Cy7,B3,100
Panel1_FMOCD3,Panel1,FMOCD3,source plate,CD8_BV786,CD8,BV786,B4,75
Panel1_FMOCD3,Panel1,FMOCD3,source plate,DeadCells_DRAQ7,DeadCells,DRAQ7,B5,50
Panel1_SSCD4,Panel1,SSCD4,source plate,CD4_PE-Cy7,CD4,PE-Cy7,B3,100
Panel1_SSCD8,Panel1,SSCD8,source plate,CD8_BV786,CD8,BV786,B4,75
Panel1_IsotypeCD3,Panel1,IsotypeCD3,source plate,IgG1_APC,IgG1,APC,C2,50
Panel2_complete,Panel2,complete,source plate,DeadCells_DRAQ7,DeadCells,DRAQ7,B5,50
Panel2_complete,Panel2,complete,source plate,AnnexinV_AF488,AnnexinV,AF488,B6,100
